NL;FOL;LLM_FOL;BLEU;LE
A gemstone is valuable and can be cut into different shapes.;∀x (Gemstone(x) → (Valuable(x) ∧ CanBeCutIntoDifferentShapes(x)));valuable(X) ∧ gemstone(X) → cuttable(X);0.0;0.75
A garden contains plants and is maintained by a gardener.;∀x ∀y (Garden(x) ∧ Gardener(y) ∧ ContainsPlants(x) → MaintainedBy(x, y));∀x (Garden(x) → ∃y (Plant(y) ∧ Contains(x, y)) ∧ ∃z (Gardener(z) ∧ MaintainedBy(x, z)));0.37154942255725065;0.21875
A car is fuel-efficient if it has low fuel consumption, reduced emissions, and optimal engine performance.;∀x (Car(x) ∧ FuelEfficient(x) ↔ (LowFuelConsumption(x) ∧ ReducedEmissions(x) ∧ OptimalEnginePerformance(x)));∀x (FuelEfficient(x) ↔ (LowFuelConsumption(x) ∧ ReducedEmissions(x) ∧ OptimalEnginePerformance(x)));0.7633537561302333;0.75
A party is successful if it has entertaining activities, delicious food, or a diverse guest list.;∀x (Party(x) ∧ (EntertainingActivities(x) ∨ DeliciousFood(x) ∨ DiverseGuestList(x)) → Successful(x));∀x (SuccessfulParty(x) → (∃y (EntertainingActivities(y) ∧ Has(x, y)) ∨ ∃z (DeliciousFood(z) ∧ Has(x, z)) ∨ ∃w (DiverseGuestList(w) ∧ Has(x, w))));0.0;0.8046875
A shape is either round or has edges.;∀x (Shape(x) → (Round(x) ⊕ HasEdges(x)));∀x (Shape(x) → (Round(x) ∨ HasEdges(x)));0.8578928092681435;0.875
In a democracy, citizens have the right to vote and freedom of speech.;∀x (Democracy(x) → (RightToVote(x) ∧ FreedomOfSpeech(x)));Democracy(X) ∧ Citizen(Y) → HaveRightToVote(Y, X) ∧ HaveFreedomOfSpeech(Y, X);0.0;0.6875
A library contains a collection of books, journals, and digital resources, organized by subject, author, or publication date.;∀x ∀y ∀z (Library(x) → (Contains(x, y) ∧ (Books(y) ∨ Journals(y) ∨ DigitalResources(y)) ∧ OrganizedBy(x, z) ∧ (Subject(z) ∨ Author(z) ∨ PublicationDate(z))));∀x (Library(x) → ∃y (Collection(y) ∧ Member(y, x)) ∧ ∃z (Organized(z, x) ∧ By(z, {Subject, Author, PublicationDate})));0.1760378793554152;0.490234375
The greenhouse effect occurs when certain gases in Earth's atmosphere trap heat, leading to a warming of the planet's surface.;∀x ∀y (GreenhouseEffect(x) ∧ EarthsAtmosphere(y) → (TrapsHeat(x, y) ∧ WarmsPlanetsSurface(x)));∀x (GreenhouseEffect(x) → (Atmosphere(x) ∧ Gases(x) ∧ TrapHeat(x) ∧ Warming(x) ∧ Surface(x)));0.3110277298634108;0.703125
A type of food can be either a fruit or a vegetable.;∀x (FoodType(x) → Fruit(x) ⊕ Vegetable(x));∀x (Food(x) → (Fruit(x) ∨ Vegetable(x)));0.4794425184430299;0.625
A tropical rainforest receives high rainfall, has high humidity, and is characterized by a dense canopy and diverse plant and animal species.;∀x (TropicalRainforest(x) ↔ (ReceivesHighRainfall(x) ∧ HighHumidity(x) ∧ DenseCanopy(x) ∧ ∀y∀z (DiverseSpecies(y, z) ∧ Plant(y) ∧ Animal(z))));∀x (TropicalRainforest(x) → HighRainfall(x) ∧ HighHumidity(x) ∧ DenseCanopy(x) ∧ DiversePlantSpecies(x) ∧ DiverseAnimalSpecies(x));0.39317646209396506;0.515625
A book consists of pages containing text and images, bound together and protected by a cover.;∀x (Book(x) ↔ (ConsistsOfPages(x) ∧ ContainsText(x) ∧ ContainsImages(x) ∧ BoundTogether(x) ∧ ProtectedByCover(x)));∀x (Book(x) → (∃y (Page(y) ∧ ContainsText(y) ∧ ContainsImage(y) ∧ PartOf(x, y)) ∧ BoundTogether(x) ∧ ProtectedByCover(x)));0.46701447792157846;0.9765625
A surface that reflects light, but does not transmit or absorb it, is a mirror.;∀x (Surface(x) ∧ ReflectsLight(x) ∧ ¬TransmitsLight(x) ∧ ¬AbsorbsLight(x) → Mirror(x));∀x (Reflects(x) ∧ ¬Transmits(x) ∧ ¬Absorbs(x) → Mirror(x));0.5352066084271668;0.96875
A restaurant is awarded a Michelin star if it demonstrates exceptional culinary skill, uses high-quality ingredients, and offers outstanding customer service.;∀x (Restaurant(x) ∧ ExceptionalCulinarySkill(x) ∧ HighQualityIngredients(x) ∧ OutstandingCustomerService(x) → AwardedMichelinStar(x));∀x (Restaurant(x) → (ExceptionalCulinarySkill(x) ∧ HighQualityIngredients(x) ∧ OutstandingCustomerService(x) → MichelinStar(x)));0.7456495553738954;1.0
Fruits that are rich in vitamin C, such as oranges and lemons, can help strengthen the immune system.;∀x (Fruit(x) ∧ RichInVitaminC(x) ∧ (Orange(x) ∨ Lemon(x)) → StrengthenImmuneSystem(x));∀x (Fruit(x) ∧ RichInVitaminC(x) → CanHelpStrengthenImmuneSystem(x));0.4124939042034734;0.96875
A refrigerator keeps food cold, has a door, and runs on electricity, while a gas stove cooks food, has burners, and runs on gas.;∀x ∀y (Refrigerator(x) ∧ GasStove(y) → ((KeepsFoodCold(x) ∧ HasDoor(x) ∧ RunsOnElectricity(x)) ∧ (CooksFood(y) ∧ HasBurners(y) ∧ RunsOnGas(y))));"∀x (Refrigerator(x) → Cold(x) ∧ HasDoor(x) ∧ RunsOnElectricity(x))
∀y (GasStove(y) → CooksFood(y) ∧ HasBurners(y) ∧ RunsOnGas(y))";0.6990507605799254;0.0
Some games are neither single-player nor multiplayer.;∃x (Game(x) ∧ ¬(SinglePlayer(x) ∨ MultiPlayer(x)));∃x (Game(x) ∧ ¬SinglePlayer(x) ∧ ¬Multiplayer(x));0.619689200200034;1.0
A film is a box-office hit if it has a high production budget, an all-star cast, or generates significant revenue within the first few weeks of release.;∀x (BoxOfficeHit(x) ↔ (Film(x) ∧ (HighProductionBudget(x) ∨ AllStarCast(x) ∨ SignificantEarlyRevenue(x))));film(X) ∧ (high_production_budget(X) ∨ all_star_cast(X) ∨ significant_revenue(X, first_few_weeks)) → box_office_hit(X);0.0;0.71875
A houseplant needs water and sunlight, can have various types such as succulents, ferns, or flowering plants, and may require specific care instructions depending on the species.;∀x (Houseplant(x) → (NeedsWater(x) ∧ NeedsSunlight(x) ∧ (Succulents(x) ∨ Ferns(x) ∨ FloweringPlants(x)) ∧ SpecificCareInstructions(x)));∀x (Houseplant(x) → (Water(x) ∧ Sunlight(x)) ∧ (∃y (Type(x, y) ∧ (y = Succulent ∨ y = Fern ∨ y = FloweringPlant)) ∧ (∃z (CareInstructions(x, z) ∧ Specific(z, Species(x))))) );0.2832659840742197;0.0
If two countries share a border, they are neighboring countries.;∀x ∀y (Country(x) ∧ Country(y) ∧ ShareBorder(x, y) → Neighbors(x, y));∀x ∀y (Border(x, y) → NeighboringCountries(x, y));0.4069491181131099;0.8125
A meal is considered healthy if it contains a balanced proportion of proteins, carbohydrates, and fats.;∀x (Meal(x) ∧ BalancedProportionOfProteins(x) ∧ BalancedProportionOfCarbohydrates(x) ∧ BalancedProportionOfFats(x) → Healthy(x));∀x (Healthy(x) ↔ (∃p ∃c ∃f (Proportion(p, c, f, x) ∧ Balanced(p, c, f))));0.1342816454725345;0.53125
A medicine is effective in treating a disease if it targets the cause and has minimal side effects, but not if it's expired.;∀x ∀y (Medicine(x) ∧ Disease(y) ∧ ((TargetsCause(x, y) ∧ MinimalSideEffects(x)) ∧ ¬Expired(x) → EffectiveTreatment(x, y)));∀x (Medicine(x) ∧ Effective(x, Disease(y)) → (TargetCause(x) ∧ MinimalSideEffects(x)) ∧ ¬Expired(x));0.5162146720676298;0.0
All cats have whiskers and sharp claws.;∀x (Cat(x) → (HasWhiskers(x) ∧ HasSharpClaws(x)));∀x (Cat(x) → (Whiskers(x) ∧ SharpClaws(x)));0.7076534431960262;1.0
"Not every music genre is fast-paced; some are slow, and others have a moderate tempo.";¬(∀x (MusicGenre(x) → FastPaced(x))) ∧ ∃y∃z (MusicGenre(y) ∧ Slow(y) ∧ MusicGenre(z) ∧ ModerateTempo(z));¬(∀x (MusicGenre(x) → FastPaced(x))) ∧ (∃x (MusicGenre(x) ∧ Slow(x))) ∧ (∃x (MusicGenre(x) ∧ ModerateTempo(x)));0.5080151928550998;0.0
Butterflies undergo metamorphosis, transforming from caterpillars to their adult form.;∀x (Butterfly(x) ∧ Caterpillar(y) → UndergoesMetamorphosis(y, x));∀x (Butterfly(x) → (∃y (Caterpillar(y) ∧ Metamorphosis(x, y) ∧ AdultForm(x))));0.3382045855583631;0.6875
A place is a park if it has green spaces, is open to the public, and offers recreational activities.;∀x (Place(x) ∧ HasGreenSpaces(x) ∧ OpenToPublic(x) ∧ OffersRecreationalActivities(x) → Park(x));∀x (Place(x) ∧ GreenSpaces(x) ∧ OpenToPublic(x) ∧ RecreationalActivities(x) → Park(x));0.8020219183488043;1.0
A plant is identified as a succulent if it stores water in its leaves or stems and thrives in arid environments.;∀x (Plant(x) ∧ StoresWaterInLeavesOrStems(x) ∧ ThrivesInAridEnvironments(x) → Succulent(x));∀x (Succulent(x) ↔ (StoresWaterInLeavesOrStems(x) ∧ ThrivesInAridEnvironments(x)));0.5765283249593297;0.5625
Birds can fly, while fish can swim, and elephants can neither fly nor swim.;∃x (Bird(x) ∧ CanFly(x)) ∧ ∃y (Fish(y) ∧ CanSwim(y)) ∧ ∃z (Elephant(z) ∧ ¬CanFly(z) ∧ ¬CanSwim(z));∀x (Bird(x) → Fly(x)) ∧ ∀y (Fish(y) → Swim(y)) ∧ ∀z (Elephant(z) → ¬(Fly(z) ∧ Swim(z)));0.513694793151529;0.515625
A flower x blooms in season y if the temperature, precipitation, and sunlight conditions are met during that period.;∀x ∀y (Flower(x) ∧ Season(y) ∧ TemperatureConditionsMet(x, y) ∧ PrecipitationConditionsMet(x, y) ∧ SunlightConditionsMet(x, y) → Blooms(x, y));∀x ∀y (Flower(x) ∧ Blooms(x, y) → (Temperature(y) ∧ Precipitation(y) ∧ Sunlight(y)));0.4563175785093727;0.796875
A circle has no sides, a pentagon has five sides, and a hexagon has six sides.;∀x ∀y ∀z (Circle(x) ∧ Pentagon(y) ∧ Hexagon(z) → (NoSides(x) ∧ FiveSides(y) ∧ SixSides(z)));"∀x (Circle(x) → ¬Sides(x, n)),
∀x (Pentagon(x) → Sides(x, 5)),
∀x (Hexagon(x) → Sides(x, 6)).";0.14884624859386142;0.0
A type of disease that is caused by a malfunction of the immune system, attacks the body's own tissues, and can lead to chronic inflammation is called an autoimmune disease.;∀x (DiseaseType(x) ∧ CausedByImmuneSystemMalfunction(x) ∧ AttacksOwnTissues(x) ∧ CanLeadToChronicInflammation(x) → AutoimmuneDisease(x));autoimmune_disease(X) ∧ caused_by_malfunction_of_immune_system(X) ∧ attacks_body_own_tissues(X) ∧ leads_to_chronic_inflammation(X) → autoimmune_disease(X);0.0;0.96875
All squares have four right angles.;∀x (Square(x) → HasFourRightAngles(x));∀x (Square(x) → FourRightAngles(x));0.7611606003349892;1.0
In a healthy ecosystem, there exists a balance between predators and prey.;∀x (HealthyEcosystem(x) → ∃y ∃z (Predator(y) ∧ Prey(z) ∧ BalancedRelationship(x, y, z)));∀x (HealthyEcosystem(x) → (∃y (Predator(y) ∧ Prey(y) ∧ Balance(x, y))) );0.5562089943717179;1.0
A piece of art that is created using pigment on a surface, typically canvas or paper, and portrays realistic images is a painting.;∀x (Art(x) ∧ CreatedUsingPigment(x) ∧ (Canvas(x) ∨ Paper(x)) ∧ PortraysRealisticImages(x) → Painting(x));∀x (Painting(x) ↔ (Pigment(x) ∧ Surface(x) ∧ Canvas(x) ∨ Paper(x) ∧ Realistic(x)));0.5547796339239347;0.546875
An informative lecture engages the audience, clearly explains concepts, and encourages questions.;∀x (Lecture(x) ∧ Informative(x) → (EngagesAudience(x) ∧ ClearlyExplainsConcepts(x) ∧ EncouragesQuestions(x)));∀x (InformativeLecture(x) → (EngagesAudience(x) ∧ ClearlyExplainsConcepts(x) ∧ EncouragesQuestions(x)));0.7282823210390313;0.78125
A region with distinct climatic conditions, characterized by specific vegetation and wildlife, is a biome.;∀x (Region(x) ∧ DistinctClimaticConditions(x) ∧ CharacterizedBySpecificVegetation(x) ∧ CharacterizedBySpecificWildlife(x) → Biome(x));∀x (Biome(x) → (∃y (DistinctClimaticConditions(x, y) ∧ SpecificVegetation(x, y) ∧ SpecificWildlife(x, y))));0.22085898766100098;0.59375
Birds that are nocturnal and have excellent night vision are likely to hunt in the dark.;∀x (Bird(x) ∧ Nocturnal(x) ∧ ExcellentNightVision(x) → HuntInTheDark(x));∀x (Bird(x) ∧ Nocturnal(x) ∧ ExcellentNightVision(x) → LikelyToHuntInDark(x));0.8787419089273848;1.0
A programmer develops software, tests it for bugs, and deploys it to users.;∀x ∀y (Programmer(x) ∧ Software(y) ∧ Develops(x, y) ∧ TestsForBugs(x, y) → DeploysToUsers(x, y));∀x (programmer(x) → ∃y (develops(x, y) ∧ tests(x, y) ∧ deploys(x, y)));0.5414675148656594;0.59375
A plant that produces oxygen, absorbs carbon dioxide, and grows in soil is typically considered a tree or a shrub.;∀x (Plant(x) ∧ ProducesOxygen(x) ∧ AbsorbsCarbonDioxide(x) ∧ GrowsInSoil(x) → (Tree(x) ∨ Shrub(x)));∀x (Plant(x) ∧ ProducesOxygen(x) ∧ AbsorbsCarbonDioxide(x) ∧ GrowsInSoil(x) → (Tree(x) ∨ Shrub(x)));1.0;1.0
A student is considered hardworking if they study regularly and complete assignments on time.;∀x (Student(x) ∧ StudiesRegularly(x) ∧ CompletesAssignmentsOnTime(x) → Hardworking(x));Hardworking(x) ∧ StudyRegularly(x) ∧ CompleteAssignmentsOnTime(x) → HardworkingStudent(x);0.41070844411879825;1.0
A planet orbits a star and is not a satellite of another planet.;∀x ∀y (Planet(x) ∧ Star(y) ∧ Orbits(x, y) ∧ ¬∃z (Planet(z) ∧ Satellite(x, z)) → OrbitsStar(x));∀x (Planet(x) ∧ Orbits(x, y) ∧ ¬Satellite(x, z) → Star(y) ∧ ¬Planet(z));0.547890607346987;0.515625
A comet is composed of ice, dust, and rock, and orbits the sun, leaving a visible tail as it travels through space.;∀x (Comet(x) → ComposedOfIceDustAndRock(x) ∧ OrbitsSun(x) ∧ LeavesVisibleTail(x));∀x (Comet(x) → (Ice(x) ∧ Dust(x) ∧ Rock(x) ∧ OrbitSun(x) ∧ Tail(x)));0.3954144926514718;0.578125
A celestial object is a comet if it orbits the Sun, has a tail, and is composed mostly of ice and dust.;∀x (CelestialObject(x) ∧ OrbitsSun(x) ∧ HasTail(x) ∧ MostlyIceAndDust(x) → Comet(x));∀x (CelestialObject(x) ∧ OrbitsSun(x) ∧ HasTail(x) ∧ ComposedOfIceAndDust(x) → Comet(x));0.9025139799587886;1.0
A game is a board game if it is played on a flat surface with pieces that are moved according to a set of rules.;∀x (Game(x) ∧ FlatSurface(x) ∧ Pieces(x) ∧ Rules(x) → BoardGame(x));∀x (Game(x) ∧ PlayedOnFlatSurface(x) ∧ PiecesMovedAccordingToRules(x) → BoardGame(x));0.6052423105306074;0.96875
A compass indicates direction by aligning its needle with the Earth's magnetic field.;∀x (Compass(x) → AlignsWithEarthsMagneticField(x));∀x (compass(x) → (∃y (magnetic_field(y) ∧ aligns_with(x, y))));0.3082642374230144;0.875
A car is powered by an engine, has features such as a transmission, wheels, and brakes, and can be used for transportation, commercial purposes, or recreational activities.;∀x (Car(x) → (PoweredByEngine(x) ∧ (Transmission(x) ∧ Wheels(x) ∧ Brakes(x)) ∧ (TransportationUsage(x) ∨ CommercialUsage(x) ∨ RecreationalActivitiesUsage(x))));∀x (Car(x) → EnginePowered(x) ∧ HasFeatures(x, Transmission, Wheels, Brakes) ∧ UsedFor(x, Transportation, CommercialPurposes, RecreationalActivities));0.22323061955897955;0.52734375
A fruit is either sweet or sour, and it is not a vegetable.;∀x (Fruit(x) → (Sweet(x) ⊕ Sour(x)) ∧ ¬Vegetable(x));∀x (Fruit(x) → (Sweet(x) ∨ Sour(x))) ∧ ¬∀x (Fruit(x) → Vegetable(x));0.5942910193868258;0.0
A person is considered a nurse if they provide healthcare services and support to patients under the supervision of a doctor.;∀x ∃y (Person(x) ∧ ProvidesHealthcareServices(x) ∧ SupportsPatients(x) ∧ SupervisedByDoctor(x, y) ∧ Doctor(y) → Nurse(x));∀x (Nurse(x) ↔ (∃y HealthcareServices(y) ∧ Support(y) ∧ Patient(y) ∧ SupervisedBy(x, y, Doctor)));0.2376583337957725;0.515625
A movie is popular when it attracts a large audience.;∀x (Movie(x) ∧ LargeAudience(x) → Popular(x));∀x (Movie(x) → (∃y (Audience(y) ∧ Large(y) → Popular(x))));0.4359647211990739;0.9375
An award-winning film can have a captivating plot, outstanding performances, or exceptional cinematography.;∀x (Film(x) ∧ AwardWinning(x) → (CaptivatingPlot(x) ∨ OutstandingPerformances(x) ∨ ExceptionalCinematography(x)));award_winning(X) ∧ film(X) → (captivating_plot(X) ∨ outstanding_performance(X) ∨ exceptional_cinematography(X));0.0;1.0
A celestial body that isn't a star might be a planet or an asteroid.;∀x (CelestialBody(x) ∧ ¬Star(x) → (Planet(x) ∨ Asteroid(x)));∀x (¬Star(x) → (Planet(x) ∨ Asteroid(x)));0.7230294246419564;0.9375
A tree is deemed mature if it has reached its full height and produces seeds or fruits.;∀x (Tree(x) ∧ FullHeight(x) ∧ (ProducesSeeds(x) ∨ ProducesFruits(x)) → Mature(x));∀x (Mature(x) ↔ (FullHeight(x) ∧ (ProducesSeeds(x) ∨ ProducesFruits(x))));0.6669071397204798;0.59375
A fabric is suitable for outdoor use if it is UV-resistant, water-resistant, and durable.;∀x (SuitableForOutdoorUse(x) ↔ (Fabric(x) ∧ ∃y (UVResistant(y) ∧ Has(x, y)) ∧ ∃z (WaterResistant(z) ∧ Has(x, z)) ∧ ∃w (Durable(w) ∧ Is(x, w))));∀x (Suitable_for_outdoor_use(x) → UV_resistant(x) ∧ Water_resistant(x) ∧ Durable(x));0.04496286813445544;0.5625
A room with a window is brighter than a room without a window.;∀x∀y (Room(x) ∧ Room(y) ∧ HasWindow(x) ∧ ¬HasWindow(y) → Brighter(x, y));∀x (Room(x) ∧ Window(x) → Brighter(x, y) ∧ ¬Window(y) → Brighter(x, y));0.5645952434066648;0.78125
A valid passport and a visa are required to enter a country if it has strict immigration policies.;∀x (Country(x) ∧ StrictImmigrationPolicies(x) → (ValidPassportRequired(x) ∧ VisaRequired(x)));∀x (StrictImmigrationPolicies(x) → (ValidPassport(x) ∧ Visa(x)));0.4676684490940927;0.8125
A tourist attraction draws visitors due to its historical significance, natural beauty, or cultural importance.;∀x (TouristAttraction(x) ∧ (HistoricalSignificance(x) ∨ NaturalBeauty(x) ∨ CulturalImportance(x)) → DrawsVisitors(x));∀x (TouristAttraction(x) → (∃y (HistoricalSignificance(y, x) ∧ ∃z (NaturalBeauty(z, x) ∧ ∃w (CulturalImportance(w, x))))) );0.26287704451296234;0.78125
A library is a place where books, magazines, and other media are stored, organized, and made available for borrowing or reference.;∀x (Library(x) → (Place(x) ∧ StoresMedia(x) ∧ OrganizesMedia(x) ∧ AvailableForBorrowingOrReference(x)));∀x (Library(x) → (∃y (Books(y) ∧ Stored(y, x)) ∧ (∃z (Magazines(z) ∧ Stored(z, x)) ∧ (∃w (Media(w) ∧ Stored(w, x) ∧ (Borrowable(w) ∨ Reference(w))))));0.17410044216698592;0.0
Baking requires an oven, blending requires a blender, and boiling requires a stove.;Requires(baking, oven) ∧ Requires(blending, blender) ∧ Requires(boiling, stove);∀x (baking(x) → ∃y (oven(y) ∧ has(x, y))) ∧ ∀x (blending(x) → ∃y (blender(y) ∧ has(x, y))) ∧ ∀x (boiling(x) → ∃y (stove(y) ∧ has(x, y)));0.0;0.0
A type of footwear with a flat sole and a flexible upper part that covers the toes is a sandal.;∀x (Footwear(x) ∧ FlatSole(x) ∧ FlexibleUpperPart(x) ∧ CoversToes(x) → Sandal(x));∀x (FlatSole(x) ∧ FlexibleUpper(x) ∧ CoversToes(x) → Sandal(x));0.6434993439607255;0.96875
Washing hands frequently prevents the spread of germs, while touching the face increases the risk of infection.;∀x (WashHandsFrequently(x) → PreventSpreadOfGerms(x)) ∧ ∀y (TouchFace(y) → IncreaseRiskOfInfection(y));∀x (washing_hands(x) → ¬spread_germs(x)) ∧ ∀y (touching_face(y) → spread_germ(y));0.5440635513985309;0.625
A submarine can navigate underwater by adjusting its buoyancy using ballast tanks.;∀x (Submarine(x) ∧ Buoyancy(b) ∧ BallastTanks(t) → CanNavigateUnderwater(x, b, t));∀x (Submarine(x) → (Underwater(x) ∧ (∃y (BallastTank(y) ∧ Adjacent(y, x) ∧ AdjustBuoyancy(x, y)))));0.24876675536871828;0.59375
A student can pass or fail a test.;∀x ∀y (Student(x) ∧ Test(y) → (Passes(x, y) ⊕ Fails(x, y)));Pass(Student, Test) ∨ Fail(Student, Test);0.0;0.75
A flower's color can either attract pollinators or deter potential predators.;∀x (Flower(x) ∧ HasColor(x) → (AttractsPollinators(x) ∨ DetersPredators(x)));∀x (Flower(x) → (Attraction(x) ∨ Deterrence(x)));0.5511210557042411;0.9375
A dog is a domesticated animal that barks and has a wagging tail.;∀x (Dog(x) → (Domesticated(x) ∧ Barks(x) ∧ HasWaggingTail(x)));∀x (Dog(x) → DomesticatedAnimal(x) ∧ Barks(x) ∧ HasWaggingTail(x));0.8055576043689697;0.625
A hammer is for pounding nails, and a saw is for cutting wood.;∀x ∀y (Hammer(x) ∧ Saw(y) → (ForPoundingNails(x) ∧ ForCuttingWood(y)));∀x (Hammer(x) → PoundingNails(x)) ∧ ∀y (Saw(y) → CuttingWood(y));0.4758733096412523;0.75
A person is a pilot if they are trained and certified to operate and navigate aircraft.;∀x (Pilot(x) ↔ (Person(x) ∧ Trained(x) ∧ Certified(x) ∧ OperatesAircraft(x) ∧ NavigatesAircraft(x)));∀x (Person(x) ∧ Trained(x, OperateAndNavigateAircraft) ∧ Certified(x, OperateAndNavigateAircraft) → Pilot(x));0.4478719547811117;0.5625
A city that has an efficient public transportation system, ample green spaces, and a low crime rate is considered livable.;∀x (City(x) ∧ EfficientPublicTransportationSystem(x) ∧ AmpleGreenSpaces(x) ∧ LowCrimeRate(x) → Livable(x));livable(X) ∧ efficient_public_transportation_system(X) ∧ ample_green_spaces(X) ∧ low_crime_rate(X) → livable_city(X);0.0;1.0
A material is a metal if it is a good conductor of heat and electricity and has a characteristic lustrous appearance.;∀x (Material(x) ∧ GoodConductorOfHeat(x) ∧ GoodConductorOfElectricity(x) ∧ LustrousAppearance(x) → Metal(x));∀x (Material(x) ∧ GoodConductorOfHeat(x) ∧ GoodConductorOfElectricity(x) ∧ LustrousAppearance(x) → Metal(x));1.0;1.0
A smartphone needs to be charged when its battery level is low, or it will not function properly.;∀x (Smartphone(x) ∧ LowBatteryLevel(x) → NeedsCharging(x));∀x (Smartphone(x) → (LowBatteryLevel(x) → NeedsCharging(x)) ∧ ¬LowBatteryLevel(x) → FunctionProperly(x));0.48325058324222636;0.75
A solar panel converts sunlight into electricity, making it a renewable and environmentally friendly energy source.;∀x (SolarPanel(x) → (ConvertsSunlight(x) ∧ ProducesElectricity(x) ∧ RenewableEnergySource(x) ∧ EnvironmentallyFriendly(x)));∀x (SolarPanel(x) → (Sunlight(x) ∧ Electricity(x) ∧ Renewable(x) ∧ EnvironmentallyFriendly(x)));0.7202343877500255;1.0
A parent can have multiple children, and a child can have multiple siblings.;∀x∀y (Parent(x) ∧ Child(y) → (CanHaveMultipleChildren(x) ∧ CanHaveMultipleSiblings(y)));"∀x (Parent(x) → ∃y (Child(y) ∧ HasParent(y, x)))
∀x (Child(x) → ∃y (Sibling(y) ∧ HasSameParent(x, y)))";0.24268972717185816;0.0
There are substances that are neither acidic nor basic.;∃x (Substance(x) ∧ ¬(Acidic(x) ∨ Basic(x)));∃x ¬(Acidic(x) ∧ ¬Basic(x)) ∧ ¬(Basic(x) ∧ ¬Acidic(x)) ∧ ¬Acidic(x) ∧ ¬Basic(x);0.31871967222981096;0.875
Musical instruments like the piano or violin produce sound through the vibration of strings.;∀x (MusicalInstrument(x) ∧ (Piano(x) ∨ Violin(x)) → ProducesSoundThroughVibration(x));∀x (MusicalInstrument(x) → (x = Piano ∨ x = Violin) → producesSoundThroughVibrationOfStrings(x));0.39485613780211865;0.0
If a musical instrument is a string instrument, then it produces sound through vibrating strings.;∀x (MusicalInstrument(x) ∧ StringInstrument(x) → ProducesSoundThroughVibratingStrings(x));∀x (StringInstrument(x) → ProducesSoundThroughVibratingStrings(x));0.5794333482883567;0.875
Sneezing spreads germs in the air.;∀x∀y (Sneezing(x) ∧ Germs(y) → SpreadsInAir(x, y));∀x (Sneezing(x) → SpreadsGermsInAir(x));0.21419576971478393;0.875
A theater hosts plays, concerts, or movie screenings, with actors or musicians performing.;∀x∀y∀z (Theater(x) ∧ (Play(y) ∨ Concert(y) ∨ MovieScreening(y)) ∧ (Actor(z) ∨ Musician(z)) → (Hosts(x, y) ∧ Performs(z, y)));∀x (Theater(x) → (Plays(x) ∨ Concerts(x) ∨ MovieScreenings(x)) ∧ (Actors(x) ∨ Musicians(x)));0.161661928998285;0.63671875
Instruments that produce sound by vibration are called musical instruments.;∀x (Instrument(x) ∧ ProducesSoundByVibration(x) → MusicalInstrument(x));∀x (ProducesSoundByVibration(x) → MusicalInstrument(x));0.5794333482883567;0.875
A transportation method that travels on a fixed route, operates on a schedule, and carries multiple passengers is a bus or a train.;∀x (TransportationMethod(x) ∧ TravelsFixedRoute(x) ∧ OperatesOnSchedule(x) ∧ CarriesMultiplePassengers(x) → (Bus(x) ∨ Train(x)));∀x (transportation_method(x) ∧ travels_on_fixed_route(x) ∧ operates_on_schedule(x) ∧ carries_multiple_passengers(x) → (bus(x) ∨ train(x)));0.6813430964678762;1.0
A movie is a thriller if it has suspense, excitement, and a surprise ending.;∀x (Movie(x) ∧ Suspense(x) ∧ Excitement(x) ∧ SurpriseEnding(x) → Thriller(x));∀x (Movie(x) → (Suspense(x) ∧ Excitement(x) ∧ SurpriseEnding(x) → Thriller(x)));0.8390782502060267;1.0
A shopping mall houses various types of stores, such as clothing, electronics, and grocery, while also providing entertainment options like movie theaters and arcades.;∀x (ShoppingMall(x) ∧ (ClothingStores(x) ∨ ElectronicsStores(x) ∨ GroceryStores(x)) → ProvidesEntertainmentOptions(x));∀x (ShoppingMall(x) → (∃y (StoreType(y) ∧ ClothingStore(y) ∧ MemberOf(x, y)) ∧ ∃z (StoreType(z) ∧ ElectronicsStore(z) ∧ MemberOf(x, z)) ∧ ∃w (StoreType(w) ∧ GroceryStore(w) ∧ MemberOf(x, w)) ∧ ∃v (EntertainmentOption(v) ∧ MovieTheater(v) ∧ MemberOf(x, v)) ∧ ∃u (EntertainmentOption(u) ∧ Arcade(u) ∧ MemberOf(x, u))));0.07977513150966127;0.0
Fish swim, birds fly, and horses run.;∀x (Fish(x) → Swim(x)) ∧ ∀y (Bird(y) → Fly(y)) ∧ ∀z (Horse(z) → Run(z));∀x (Fish(x) → Swim(x)) ∧ ∀y (Bird(y) → Fly(y)) ∧ ∀z (Horse(z) → Run(z));1.0;1.0
If a person is a counselor, they provide guidance and support.;∀x (Counselor(x) → (ProvidesGuidance(x) ∧ ProvidesSupport(x)));∀x (Counselor(x) → Provides_Guidance_and_Support(x));0.44424794252656474;0.875
A film that combines captivating visuals and an emotionally engaging storyline can achieve critical acclaim.;∀x ∀y (Film(x) ∧ CaptivatingVisuals(x) ∧ EmotionallyEngagingStoryline(x) → CanAchieveCriticalAcclaim(y));∀x (Film(x) ∧ CaptivatingVisials(x) ∧ EmotionallyEngagingStoryline(x) → CriticalAcclaim(x));0.5604984590683829;1.0
